"","word","vowel","stress","mean_pitch","mean_amplitude","min_time","max_time","duration","mean_tilt"
"90","Decade","v2","antipenultimate",170.9,0.0418857047087964,1,1.06,0.06,0.129222076870032
"91","Decano","v1","penultimate",230.31,0.108795134378209,1,1.06,0.06,0.0775109272608148
"92","Decano","v2","penultimate",216.33,0.056949692763086,1,1.21,0.21,0.19304704124966
"93","Delirio","v1","penultimate",204.62,0.11734247254209,1,1.08,0.0799999999999998,0.0664574423471316
"94","Delirio","v2","penultimate",243.94,0.052592195377562,1,1.2,0.2,0.0581215273773031
"95","Delizia","v1","penultimate",251.61,0.0626837810483034,1,1.05,0.0499999999999998,0.0821892493249436
"96","Delizia","v2","penultimate",217.94,0.0339387325719634,1,1.11,0.11,0.0644695406575173
"97","Edema","v1","antipenultimate",196.67,0.0814776238156861,1,1.16,0.16,0.102449700025488
"98","Edema","v2","antipenultimate",178.48,0.0909776380817689,1,1.07,0.0699999999999998,0.092559993699378
"99","Edera","v1","antipenultimate",239.99,0.0944021566002487,1,1.15,0.15,0.11685796212454
"100","Edera","v2","antipenultimate",171.55,0.0754626863974994,1,1.11,0.11,0.0957368294824611
"101","Erede","v1","penultimate",278.77,0.0859563403725591,1,1.12,0.12,0.105813071134601
"102","Erede","v2","penultimate",254.95,0.0756165089998828,1,1.2,0.2,0.120154522423738
"103","Eremo","v1","antipenultimate",234.96,0.109928897965313,1,1.22,0.22,0.108372075760524
"104","Eremo","v2","antipenultimate",187.52,0.0640298766006223,1,1.1,0.0999999999999999,0.10593629085303
"105","Esodo","v1","antipenultimate",192.26,0.0455853616743264,1,1.14,0.14,0.106663283177456
"106","Esodo","v2","antipenultimate",172.76,0.0446407533308152,1,1.08,0.0799999999999998,0.0930849767032653
"107","Esordio","v1","penultimate",289.91,0.0527572282580783,1,1.08,0.0799999999999998,0.0972439850935932
"108","Esordio","v2","penultimate",229.94,0.0554905931915582,1,1.16,0.16,0.126115594240603
"109","Estero","v1","antipenultimate",254.16,0.0698420908139074,1,1.1,0.1,0.120895559113424
"110","Estero","v2","antipenultimate",196.14,0.0576704144268892,1,1.07,0.0699999999999998,0.103891645673247
"111","Esteta","v1","penultimate",242.97,0.0873124959641319,1,1.05,0.05,0.0728063838995536
"112","Esteta","v2","penultimate",248.7,0.0795190408106675,1,1.16,0.16,0.110314693155438
"113","Fedele","v1","penultimate",269.9,0.147385446010964,1,1.08,0.0800000000000001,0.0965633337814557
"114","Fedele","v2","penultimate",226.18,0.0976129708975539,1,1.21,0.21,0.0916675529073737
"115","Federa","v1","antipenultimate",273.03,0.0831230965201688,1,1.19,0.19,0.134970512766522
"116","Federa","v2","antipenultimate",181.4,0.0787769419153221,1,1.1,0.1,0.101701714310744
"117","Forbice","v1","antipenultimate",288.77,0.079214007202819,1,1.17,0.17,0.152285098432146
"118","Forbice","v2","antipenultimate",184.09,0.0373647066966058,1,1.07,0.0700000000000001,0.0538202701788629
"119","Forbito","v1","penultimate",259.26,0.089675920672816,1,1.07,0.0700000000000001,0.116733661344722
"120","Forbito","v2","penultimate",213.74,0.0323091503777843,1,1.15,0.15,0.0579569918012849
"121","Fragola","v1","antipenultimate",240.27,0.114688131951224,1,1.15,0.15,0.183801284741901
"122","Fragola","v2","antipenultimate",178.92,0.0684464875108441,1,1.07,0.0700000000000001,0.104894720269836
"123","Fragore","v1","penultimate",219.77,0.142340996610639,1,1.06,0.06,0.146498349819662
"124","Fragore","v2","penultimate",214.14,0.104068379685744,1,1.18,0.18,0.114558678814156
"125","Fucile","v1","penultimate",211.83,0.0290511978486233,1,1.08,0.0799999999999998,0.0736473456736993
"126","Fucile","v2","penultimate",212.21,0.0358866653043333,1,1.14,0.14,0.0623524579152289
"127","Fucina","v1","penultimate",210.09,0.0233149066106402,1,1.05,0.0499999999999998,0.064696526608412
"128","Fucina","v2","penultimate",196.9,0.0239678378007889,1,1.13,0.13,0.0612140446918208
"129","Genero","v1","antipenultimate",222.16,0.0838131782179197,1,1.18,0.18,0.134443010682204
"130","Genero","v2","antipenultimate",171.62,0.0453182909214341,1,1.11,0.11,0.106941877677468
"131","Genesi","v1","antipenultimate",203.41,0.0586317606189474,1,1.18,0.18,0.133840617261757
"132","Genesi","v2","antipenultimate",168.16,0.0434883327537684,1,1.08,0.0800000000000001,0.0863233166326457
"133","Granita","v1","penultimate",251.76,0.084504667353716,1,1.08,0.0799999999999998,0.146022205507104
"134","Granita","v2","penultimate",206.26,0.0412861534537028,1,1.12,0.12,0.0660115892294715
"135","Granito","v1","penultimate",206.26,0.079376581527243,1,1.09,0.0900000000000001,0.131608604070286
"136","Granito","v2","penultimate",210.41,0.0456834630556247,1,1.14,0.14,0.0648354138261164
"137","Impero","v1","penultimate",248.01,0.0502284837920994,1,1.06,0.06,0.0601888627221148
"138","Impero","v2","penultimate",215.6,0.0559947201589335,1,1.2,0.2,0.115520581096304
"139","Impeto","v1","antipenultimate",278.82,0.0714561688945413,1,1.05,0.05,0.0751969366800176
"140","Impeto","v2","antipenultimate",209.7,0.0318999906948596,1,1.06,0.06,0.0793342166810991
"141","Lattice","v1","antipenultimate",201.5,0.105547966784589,1,1.12,0.12,0.19374762571342
"142","Lattice","v2","antipenultimate",198.71,0.0295253543968457,1,1.05,0.05,0.0578595568679197
"143","Lattina","v1","penultimate",213.28,0.0928164824280945,1,1.06,0.06,0.129784211568191
"144","Lattina","v2","penultimate",256.57,0.043648447948351,1,1.15,0.15,0.0563086831824971
"145","Loculo","v1","antipenultimate",223.77,0.0861010342857333,1,1.13,0.13,0.143551789399105
"146","Loculo","v2","antipenultimate",198.17,0.0348350710558446,1,1.11,0.11,0.0845271453174733
"147","Locusta","v1","penultimate",216.54,0.0986763457353854,1,1.06,0.06,0.111167674730408
"148","Locusta","v2","penultimate",298.51,0.0466320660654865,1,1.08,0.0800000000000001,0.112586469843117
"149","Macaco","v1","penultimate",234.54,0.0870115079924497,1,1.05,0.05,0.184996629736239
"150","Macaco","v2","penultimate",234.96,0.076375261399502,1,1.17,0.17,0.190832014849595
"151","Mantice","v1","antipenultimate",193.51,0.0508493376493386,1,1.11,0.11,0.20523098246631
"152","Mantice","v2","antipenultimate",191.31,0.0186813459737379,1,1.06,0.0599999999999998,0.0467580196237406
"153","Mantide","v1","antipenultimate",187.18,0.108735894231951,1,1.09,0.0900000000000001,0.194587193533682
"154","Mantide","v2","antipenultimate",195.75,0.0388202759828494,1,1.06,0.0599999999999998,0.0689330382637074
"155","Mastice","v1","antipenultimate",255.4,0.0817559679314751,1,1.09,0.0900000000000001,0.1893495148189
"156","Mastice","v2","antipenultimate",184.45,0.0243107821290657,1,1.07,0.0700000000000001,0.0497578572161842
